trial_index,arm_name,trial_status,generation_method,valid_loss,hid,batch_size,layers,lr,aggregation
17,17_0,COMPLETED,BoTorch,0.247698575258255,512,1024,4,0.0002067416912929947,mean
13,13_0,COMPLETED,BoTorch,0.25378429889678955,512,1024,4,0.0001,mean
1,1_0,COMPLETED,Sobol,0.2555718421936035,512,256,4,0.0002627560310195539,max
12,12_0,COMPLETED,BoTorch,0.25565963983535767,512,256,4,0.0003138678389493067,max
15,15_0,COMPLETED,BoTorch,0.2564868927001953,128,1024,4,0.00015227998512285193,mean
19,19_0,COMPLETED,BoTorch,0.2637574076652527,256,1024,4,0.0002551557334761881,mean
0,0_0,COMPLETED,Sobol,0.2855606973171234,128,512,2,0.009578778465390004,sum
14,14_0,COMPLETED,BoTorch,0.28557395935058594,256,1024,4,0.0006809322443057516,mean
8,8_0,COMPLETED,Sobol,0.30723685026168823,128,1024,4,0.0015674711852540185,mean
3,3_0,COMPLETED,Sobol,0.3161813020706177,256,512,4,0.0006233564666377593,mean
10,10_0,COMPLETED,BoTorch,0.3191375434398651,512,256,4,0.0001,max
7,7_0,COMPLETED,Sobol,0.31920602917671204,128,256,2,0.005029903871622243,sum
11,11_0,COMPLETED,BoTorch,0.3975120782852173,512,256,4,0.0020673844100480283,max
4,4_0,COMPLETED,Sobol,0.44369450211524963,256,1024,4,0.00032741574966774065,max
5,5_0,COMPLETED,Sobol,0.470359742641449,512,256,2,0.0011922784581771108,sum
18,18_0,COMPLETED,BoTorch,0.4717279374599457,128,256,2,0.003890098749284864,sum
16,16_0,COMPLETED,BoTorch,0.5329464077949524,128,256,2,0.01,sum
9,9_0,COMPLETED,Sobol,0.6380988955497742,256,512,2,0.0004280324460519718,sum
2,2_0,COMPLETED,Sobol,0.7646139860153198,512,1024,2,0.002269896027468672,max
6,6_0,COMPLETED,Sobol,0.8368920683860779,256,512,4,0.00013797292428694195,max
