trial_index,arm_name,trial_status,generation_method,valid_loss,hid,batch_size,layers,lr,aggregation
17,17_0,COMPLETED,BoTorch,1.3394958972930908,128,1024,4,0.0018752032914439193,max
16,16_0,COMPLETED,BoTorch,1.3470005989074707,128,1024,4,0.002101341638931718,max
18,18_0,COMPLETED,BoTorch,1.3478831052780151,128,1024,4,0.0017796014957618801,max
1,1_0,COMPLETED,Sobol,1.3485502004623413,512,256,4,0.0002627560310195539,max
14,14_0,COMPLETED,BoTorch,1.3516684770584106,128,256,4,0.001210911017160407,max
15,15_0,COMPLETED,BoTorch,1.3520615100860596,512,512,4,0.0010953924640726205,max
19,19_0,COMPLETED,BoTorch,1.353891134262085,128,1024,4,0.001805194697875345,max
4,4_0,COMPLETED,Sobol,1.3599867820739746,256,1024,4,0.00032741574966774065,max
8,8_0,COMPLETED,Sobol,1.368480920791626,128,1024,4,0.0015674711852540185,mean
12,12_0,COMPLETED,BoTorch,1.3721076250076294,256,1024,4,0.002178603184351147,mean
6,6_0,COMPLETED,Sobol,1.3797880411148071,256,512,4,0.00013797292428694195,max
10,10_0,COMPLETED,BoTorch,1.3982470035552979,256,1024,4,0.01,max
3,3_0,COMPLETED,Sobol,1.420358419418335,256,512,4,0.0006233564666377593,mean
0,0_0,COMPLETED,Sobol,1.4990839958190918,128,512,2,0.009578778465390004,sum
9,9_0,COMPLETED,Sobol,1.5055956840515137,256,512,2,0.0004280324460519718,sum
5,5_0,COMPLETED,Sobol,1.5259181261062622,512,256,2,0.0011922784581771108,sum
11,11_0,COMPLETED,BoTorch,1.533447027206421,128,256,2,0.01,mean
7,7_0,COMPLETED,Sobol,1.5477102994918823,128,256,2,0.005029903871622243,sum
2,2_0,COMPLETED,Sobol,1.7169462442398071,512,1024,2,0.002269896027468672,max
13,13_0,COMPLETED,BoTorch,2.2602651119232178,128,256,2,0.0001,mean
