trial_index,arm_name,trial_status,generation_method,valid_loss,hid,batch_size,layers,lr,aggregation
4,4_0,COMPLETED,Sobol,1.3373380899429321,256,1024,4,0.00032741574966774065,max
15,15_0,COMPLETED,BoTorch,1.3391085863113403,512,1024,4,0.00023365103971219152,max
12,12_0,COMPLETED,BoTorch,1.341819405555725,512,1024,4,0.00025968283747903036,max
19,19_0,COMPLETED,BoTorch,1.3435982465744019,512,1024,4,0.00026771688657685564,max
1,1_0,COMPLETED,Sobol,1.3506821393966675,512,256,4,0.0002627560310195539,max
17,17_0,COMPLETED,BoTorch,1.3513725996017456,512,1024,4,0.00025689247165430073,max
18,18_0,COMPLETED,BoTorch,1.3526902198791504,512,1024,4,0.0002682633905477423,max
16,16_0,COMPLETED,BoTorch,1.353922963142395,512,1024,4,0.00027949187483311446,max
14,14_0,COMPLETED,BoTorch,1.3617404699325562,512,1024,4,0.00016841357246079436,max
6,6_0,COMPLETED,Sobol,1.3645867109298706,256,512,4,0.00013797292428694195,max
11,11_0,COMPLETED,BoTorch,1.3819857835769653,128,1024,4,0.0004611636742446608,max
8,8_0,COMPLETED,Sobol,1.4035959243774414,128,1024,4,0.0015674711852540185,mean
3,3_0,COMPLETED,Sobol,1.4051307439804077,256,512,4,0.0006233564666377593,mean
10,10_0,COMPLETED,BoTorch,1.480726718902588,512,1024,4,0.01,max
9,9_0,COMPLETED,Sobol,1.499155044555664,256,512,2,0.0004280324460519718,sum
0,0_0,COMPLETED,Sobol,1.5072635412216187,128,512,2,0.009578778465390004,sum
5,5_0,COMPLETED,Sobol,1.5239454507827759,512,256,2,0.0011922784581771108,sum
7,7_0,COMPLETED,Sobol,1.535433053970337,128,256,2,0.005029903871622243,sum
2,2_0,COMPLETED,Sobol,1.7165607213974,512,1024,2,0.002269896027468672,max
13,13_0,COMPLETED,BoTorch,2.1871144771575928,512,1024,2,0.0001,mean
