trial_index,arm_name,trial_status,generation_method,valid_loss,hid,batch_size,layers,lr,aggregation
17,17_0,COMPLETED,BoTorch,0.6118595004081726,512,512,4,0.0001780686488381707,max
12,12_0,COMPLETED,BoTorch,0.6122443675994873,512,512,4,0.0001633583354378788,max
15,15_0,COMPLETED,BoTorch,0.6126933097839355,512,256,4,0.00016588982436079248,max
6,6_0,COMPLETED,Sobol,0.616447389125824,256,512,4,0.00013797292428694195,max
1,1_0,COMPLETED,Sobol,0.6167567372322083,512,256,4,0.0002627560310195539,max
11,11_0,COMPLETED,BoTorch,0.617466926574707,256,256,4,0.0001,max
5,5_0,COMPLETED,Sobol,0.6191690564155579,512,256,2,0.0011922784581771108,sum
16,16_0,COMPLETED,BoTorch,0.6197752356529236,512,1024,4,0.00018023012606140895,max
14,14_0,COMPLETED,BoTorch,0.6199766397476196,512,512,4,0.0001,max
13,13_0,COMPLETED,BoTorch,0.6207768321037292,512,512,4,0.0001,sum
9,9_0,COMPLETED,Sobol,0.6212519407272339,256,512,2,0.0004280324460519718,sum
2,2_0,COMPLETED,Sobol,0.6225057244300842,512,1024,2,0.002269896027468672,max
4,4_0,COMPLETED,Sobol,0.6232040524482727,256,1024,4,0.00032741574966774065,max
10,10_0,COMPLETED,BoTorch,0.6233192086219788,256,256,2,0.0001,max
19,19_0,COMPLETED,BoTorch,0.6235980987548828,128,512,2,0.001463576947721445,sum
18,18_0,COMPLETED,BoTorch,0.6241501569747925,512,256,4,0.0021436112354376218,max
7,7_0,COMPLETED,Sobol,0.6256835460662842,128,256,2,0.005029903871622243,sum
3,3_0,COMPLETED,Sobol,0.6292613744735718,256,512,4,0.0006233564666377593,mean
8,8_0,COMPLETED,Sobol,0.6323634386062622,128,1024,4,0.0015674711852540185,mean
0,0_0,COMPLETED,Sobol,0.6337782144546509,128,512,2,0.009578778465390004,sum
